Area,Date,Mean_TemperatureF
SFO,4/8/14,67
SFO,4/9/14,58
SFO,4/10/14,60
SFO,4/11/14,59
SFO,4/12/14,59
SFO,4/13/14,63
SFO,4/14/14,60
SFO,4/15/14,59
SFO,4/16/14,63
SFO,4/17/14,59
SFO,4/18/14,58
SFO,4/19/14,57
SFO,4/20/14,65
SFO,4/21/14,61
SFO,4/22/14,58
SFO,4/23/14,59
SFO,4/24/14,61
SFO,4/25/14,63
SFO,4/26/14,55
SFO,4/27/14,59
SFO,4/28/14,61
SFO,4/29/14,70
SFO,4/30/14,75
SFO,5/1/14,74
SFO,5/2/14,64
SFO,5/3/14,61
SFO,5/4/14,63
SFO,5/5/14,61
SFO,5/6/14,60
SFO,5/7/14,58
SFO,5/8/14,60
SFO,5/9/14,60
SFO,5/10/14,60
SFO,5/11/14,63
SFO,5/12/14,68
SFO,5/13/14,76
SFO,5/14/14,77
SFO,5/15/14,71
SFO,5/16/14,64
SFO,5/17/14,62
SFO,5/18/14,63
SFO,5/19/14,62
SFO,5/20/14,64
SFO,5/21/14,64
SFO,5/22/14,62
SFO,5/23/14,62
SFO,5/24/14,61
SFO,5/25/14,63
SFO,5/26/14,64
SFO,5/27/14,61
SFO,5/28/14,63
SFO,5/29/14,66
SFO,5/30/14,59
SFO,5/31/14,60
SFO,6/1/14,62
SFO,6/2/14,60
SFO,6/3/14,60
SFO,6/4/14,61
SFO,6/5/14,62
SFO,6/6/14,63
SFO,6/7/14,62
SFO,6/8/14,71
SFO,6/9/14,68
SFO,6/10/14,66
SFO,6/11/14,65
SFO,6/12/14,62
SFO,6/13/14,64
SFO,6/14/14,70
SFO,6/15/14,63
SFO,6/16/14,60
SFO,6/17/14,64
SFO,6/18/14,71
SFO,6/19/14,64
SFO,6/20/14,66
SFO,6/21/14,61
SFO,6/22/14,62
SFO,6/23/14,64
SFO,6/24/14,63
SFO,6/25/14,64
SFO,6/26/14,65
SFO,6/27/14,67
SFO,6/28/14,66
SFO,6/29/14,69
SFO,6/30/14,71
SFO,7/1/14,67
SFO,7/2/14,67
SFO,7/3/14,65
SFO,7/4/14,62
SFO,7/5/14,62
SFO,7/6/14,61
SFO,7/7/14,63
SFO,7/8/14,66
SFO,7/9/14,67
SFO,7/10/14,68
SFO,7/11/14,66
SFO,7/12/14,62
SFO,7/13/14,61
SFO,7/14/14,67
SFO,7/15/14,70
SFO,7/16/14,70
SFO,7/17/14,69
SFO,7/18/14,68
SFO,7/19/14,68
SFO,7/20/14,68
SFO,7/21/14,71
SFO,7/22/14,71
SFO,7/23/14,70
SFO,7/24/14,72
SFO,7/25/14,76
SFO,7/26/14,69
SFO,7/27/14,69
SFO,7/28/14,67
SFO,7/29/14,67
SFO,7/30/14,65
SFO,7/31/14,65
SFO,8/1/14,66
SFO,8/2/14,64
SFO,8/3/14,65
SFO,8/4/14,68
SFO,8/5/14,68
SFO,8/6/14,69
SFO,8/7/14,65
SFO,8/8/14,67
SFO,8/9/14,65
SFO,8/10/14,69
SFO,8/11/14,70
SFO,8/12/14,70
SFO,8/13/14,69
SFO,8/14/14,67
SFO,8/15/14,67
SFO,8/16/14,66
SFO,8/17/14,65
SFO,8/18/14,65
SFO,8/19/14,68
SFO,8/20/14,68
SFO,8/21/14,68
SFO,8/22/14,68
SFO,8/23/14,66
SFO,8/24/14,67
SFO,8/25/14,68
SFO,8/26/14,67
SFO,8/27/14,67
SFO,8/28/14,67
SFO,8/29/14,66
SFO,8/30/14,72
SFO,8/31/14,69
SFO,9/1/14,72
SFO,9/2/14,67
SFO,9/3/14,68
SFO,9/4/14,68
SFO,9/5/14,68
SFO,9/6/14,66
SFO,9/7/14,64
SFO,9/8/14,63
SFO,9/9/14,65
SFO,9/10/14,69
SFO,9/11/14,69
SFO,9/12/14,67
SFO,9/13/14,68
SFO,9/14/14,67
SFO,9/15/14,70
SFO,9/16/14,72
SFO,9/17/14,72
SFO,9/18/14,72
SFO,9/19/14,69
SFO,9/20/14,71
SFO,9/21/14,69
SFO,9/22/14,72
SFO,9/23/14,71
SFO,9/24/14,72
SFO,9/25/14,68
SFO,9/26/14,68
SFO,9/27/14,68
SFO,9/28/14,69
SFO,9/29/14,66
SFO,9/30/14,69
SFO,10/1/14,73
SFO,10/2/14,76
SFO,10/3/14,81
SFO,10/4/14,78
SFO,10/5/14,74
SFO,10/6/14,71
SFO,10/7/14,66
SFO,10/8/14,68
SFO,10/9/14,64
SFO,10/10/14,64
SFO,10/11/14,68
SFO,10/12/14,75
SFO,10/13/14,76
SFO,10/14/14,69
SFO,10/15/14,69
SFO,10/16/14,66
SFO,10/17/14,67
SFO,10/18/14,72
SFO,10/19/14,68
SFO,10/20/14,67
SFO,10/21/14,64
SFO,10/22/14,66
SFO,10/23/14,69
SFO,10/24/14,67
SFO,10/25/14,68
SFO,10/26/14,64
SFO,10/27/14,63
SFO,10/28/14,63
SFO,10/29/14,71
SFO,10/30/14,67
SFO,10/31/14,61
SFO,11/1/14,60
SFO,11/2/14,58
SFO,11/3/14,60
SFO,11/4/14,61
SFO,11/5/14,65
SFO,11/6/14,65
SFO,11/7/14,62
SFO,11/8/14,65
SFO,11/9/14,61
SFO,11/10/14,61
SFO,11/11/14,61
SFO,11/12/14,62
SFO,11/13/14,62
SFO,11/14/14,61
SFO,11/15/14,60
SFO,11/16/14,60
SFO,11/17/14,58
SFO,11/18/14,58
SFO,11/19/14,60
SFO,11/20/14,57
SFO,11/21/14,58
SFO,11/22/14,60
SFO,11/23/14,58
SFO,11/24/14,57
SFO,11/25/14,57
SFO,11/26/14,59
SFO,11/27/14,57
SFO,11/28/14,55
SFO,11/29/14,61
SFO,11/30/14,58
SFO,12/1/14,61
SFO,12/2/14,59
SFO,12/3/14,63
SFO,12/4/14,63
SFO,12/5/14,63
SFO,12/6/14,63
SFO,12/7/14,59
SFO,12/8/14,62
SFO,12/9/14,60
SFO,12/10/14,62
SFO,12/11/14,59
SFO,12/12/14,55
SFO,12/13/14,52
SFO,12/14/14,55
SFO,12/15/14,58
SFO,12/16/14,57
SFO,12/17/14,55
SFO,12/18/14,56
SFO,12/19/14,57
SFO,12/20/14,59
SFO,12/21/14,61
SFO,12/22/14,60
SFO,12/23/14,60
SFO,12/24/14,55
SFO,12/25/14,52
SFO,12/26/14,52
SFO,12/27/14,49
SFO,12/28/14,50
SFO,12/29/14,50
SFO,12/30/14,51
SFO,12/31/14,50
JFK,1/1/14,29
JFK,1/2/14,26
JFK,1/3/14,14
JFK,1/4/14,17
JFK,1/5/14,36
JFK,1/6/14,37
JFK,1/7/14,13
JFK,1/8/14,17
JFK,1/9/14,28
JFK,1/10/14,31
JFK,1/11/14,46
JFK,1/12/14,43
JFK,1/13/14,40
JFK,1/14/14,46
JFK,1/15/14,38
JFK,1/16/14,39
JFK,1/17/14,37
JFK,1/18/14,35
JFK,1/19/14,32
JFK,1/20/14,41
JFK,1/21/14,23
JFK,1/22/14,13
JFK,1/23/14,15
JFK,1/24/14,16
JFK,1/25/14,25
JFK,1/26/14,27
JFK,1/27/14,34
JFK,1/28/14,18
JFK,1/29/14,20
JFK,1/30/14,21
JFK,1/31/14,34
JFK,2/1/14,37
JFK,2/2/14,41
JFK,2/3/14,36
JFK,2/4/14,29
JFK,2/5/14,33
JFK,2/6/14,28
JFK,2/7/14,29
JFK,2/8/14,25
JFK,2/9/14,25
JFK,2/10/14,25
JFK,2/11/14,21
JFK,2/12/14,20
JFK,2/13/14,31
JFK,2/14/14,37
JFK,2/15/14,33
JFK,2/16/14,26
JFK,2/17/14,26
JFK,2/18/14,33
JFK,2/19/14,36
JFK,2/20/14,39
JFK,2/21/14,41
JFK,2/22/14,44
JFK,2/23/14,45
JFK,2/24/14,37
JFK,2/25/14,31
JFK,2/26/14,27
JFK,2/27/14,25
JFK,2/28/14,19
JFK,3/1/14,27
JFK,3/2/14,37
JFK,3/3/14,27
JFK,3/4/14,21
JFK,3/5/14,33
JFK,3/6/14,24
JFK,3/7/14,32
JFK,3/8/14,46
JFK,3/9/14,42
JFK,3/10/14,43
JFK,3/11/14,52
JFK,3/12/14,46
JFK,3/13/14,26
JFK,3/14/14,32
JFK,3/15/14,51
JFK,3/16/14,37
JFK,3/17/14,30
JFK,3/18/14,34
JFK,3/19/14,37
JFK,3/20/14,49
JFK,3/21/14,44
JFK,3/22/14,50
JFK,3/23/14,37
JFK,3/24/14,29
JFK,3/25/14,31
JFK,3/26/14,32
JFK,3/27/14,31
JFK,3/28/14,44
JFK,3/29/14,47
JFK,3/30/14,48
JFK,3/31/14,45
JFK,4/1/14,47
JFK,4/2/14,43
JFK,4/3/14,51
JFK,4/4/14,43
JFK,4/5/14,49
JFK,4/6/14,47
JFK,4/7/14,44
JFK,4/8/14,57
JFK,4/9/14,54
JFK,4/10/14,46
JFK,4/11/14,58
JFK,4/12/14,59
JFK,4/13/14,56
JFK,4/14/14,59
JFK,4/15/14,45
JFK,4/16/14,41
JFK,4/17/14,41
JFK,4/18/14,41
JFK,4/19/14,54
JFK,4/20/14,48
JFK,4/21/14,48
JFK,4/22/14,54
JFK,4/23/14,54
JFK,4/24/14,54
JFK,4/25/14,51
JFK,4/26/14,57
JFK,4/27/14,54
JFK,4/28/14,56
JFK,4/29/14,48
JFK,4/30/14,49
JFK,5/1/14,62
JFK,5/2/14,61
JFK,5/3/14,58
JFK,5/4/14,60
JFK,5/5/14,60
JFK,5/6/14,60
JFK,5/7/14,57
JFK,5/8/14,55
JFK,5/9/14,60
JFK,5/10/14,66
JFK,5/11/14,70
JFK,5/12/14,66
JFK,5/13/14,61
JFK,5/14/14,57
JFK,5/15/14,66
JFK,5/16/14,63
JFK,5/17/14,63
JFK,5/18/14,61
JFK,5/19/14,62
JFK,5/20/14,67
JFK,5/21/14,68
JFK,5/22/14,60
JFK,5/23/14,63
JFK,5/24/14,64
JFK,5/25/14,67
JFK,5/26/14,73
JFK,5/27/14,74
JFK,5/28/14,60
JFK,5/29/14,57
JFK,5/30/14,62
JFK,5/31/14,64
JFK,6/1/14,65
JFK,6/2/14,66
JFK,6/3/14,71
JFK,6/4/14,73
JFK,6/5/14,70
JFK,6/6/14,71
JFK,6/7/14,71
JFK,6/8/14,73
JFK,6/9/14,66
JFK,6/10/14,73
JFK,6/11/14,66
JFK,6/12/14,69
JFK,6/13/14,74
JFK,6/14/14,71
JFK,6/15/14,71
JFK,6/16/14,71
JFK,6/17/14,75
JFK,6/18/14,83
JFK,6/19/14,73
JFK,6/20/14,74
JFK,6/21/14,69
JFK,6/22/14,69
JFK,6/23/14,72
JFK,6/24/14,72
JFK,6/25/14,76
JFK,6/26/14,80
JFK,6/27/14,72
JFK,6/28/14,76
JFK,6/29/14,72
JFK,6/30/14,74
JFK,7/1/14,78
JFK,7/2/14,78
JFK,7/3/14,78
JFK,7/4/14,71
JFK,7/5/14,75
JFK,7/6/14,75
JFK,7/7/14,77
JFK,7/8/14,80
JFK,7/9/14,78
JFK,7/10/14,78
JFK,7/11/14,76
JFK,7/12/14,74
JFK,7/13/14,75
JFK,7/14/14,77
JFK,7/15/14,76
JFK,7/16/14,77
JFK,7/17/14,75
JFK,7/18/14,75
JFK,7/19/14,74
JFK,7/20/14,73
JFK,7/21/14,74
JFK,7/22/14,76
JFK,7/23/14,77
JFK,7/24/14,78
JFK,7/25/14,75
JFK,7/26/14,75
JFK,7/27/14,78
JFK,7/28/14,77
JFK,7/29/14,72
JFK,7/30/14,72
JFK,7/31/14,74
JFK,8/1/14,77
JFK,8/2/14,71
JFK,8/3/14,72
JFK,8/4/14,76
JFK,8/5/14,78
JFK,8/6/14,78
JFK,8/7/14,77
JFK,8/8/14,75
JFK,8/9/14,76
JFK,8/10/14,78
JFK,8/11/14,76
JFK,8/12/14,76
JFK,8/13/14,77
JFK,8/14/14,73
JFK,8/15/14,69
JFK,8/16/14,70
JFK,8/17/14,76
JFK,8/18/14,73
JFK,8/19/14,72
JFK,8/20/14,73
JFK,8/21/14,73
JFK,8/22/14,73
JFK,8/23/14,70
JFK,8/24/14,72
JFK,8/25/14,75
JFK,8/26/14,75
JFK,8/27/14,77
JFK,8/28/14,76
JFK,8/29/14,71
JFK,8/30/14,71
JFK,8/31/14,79
JFK,9/1/14,80
JFK,9/2/14,83
JFK,9/3/14,80
JFK,9/4/14,77
JFK,9/5/14,78
JFK,9/6/14,77
JFK,9/7/14,74
JFK,9/8/14,72
JFK,9/9/14,70
JFK,9/10/14,71
JFK,9/11/14,77
JFK,9/12/14,71
JFK,9/13/14,65
JFK,9/14/14,63
JFK,9/15/14,63
JFK,9/16/14,64
JFK,9/17/14,64
JFK,9/18/14,68
JFK,9/19/14,62
JFK,9/20/14,65
JFK,9/21/14,72
JFK,9/22/14,64
JFK,9/23/14,60
JFK,9/24/14,64
JFK,9/25/14,62
JFK,9/26/14,69
JFK,9/27/14,73
JFK,9/28/14,70
JFK,9/29/14,71
JFK,9/30/14,66
JFK,10/1/14,65
JFK,10/2/14,65
JFK,10/3/14,62
JFK,10/4/14,62
JFK,10/5/14,54
JFK,10/6/14,58
JFK,10/7/14,70
JFK,10/8/14,69
JFK,10/9/14,63
JFK,10/10/14,58
JFK,10/11/14,55
JFK,10/12/14,56
JFK,10/13/14,56
JFK,10/14/14,70
JFK,10/15/14,72
JFK,10/16/14,66
JFK,10/17/14,66
JFK,10/18/14,65
JFK,10/19/14,51
JFK,10/20/14,52
JFK,10/21/14,60
JFK,10/22/14,55
JFK,10/23/14,53
JFK,10/24/14,57
JFK,10/25/14,59
JFK,10/26/14,60
JFK,10/27/14,57
JFK,10/28/14,59
JFK,10/29/14,63
JFK,10/30/14,54
JFK,10/31/14,51
JFK,11/1/14,46
JFK,11/2/14,46
JFK,11/3/14,51
JFK,11/4/14,59
JFK,11/5/14,59
JFK,11/6/14,52
JFK,11/7/14,48
JFK,11/8/14,42
JFK,11/9/14,51
JFK,11/10/14,49
JFK,11/11/14,53
JFK,11/12/14,56
JFK,11/13/14,44
JFK,11/14/14,41
JFK,11/15/14,37
JFK,11/16/14,38
JFK,11/17/14,48
JFK,11/18/14,36
JFK,11/19/14,30
JFK,11/20/14,40
JFK,11/21/14,33
JFK,11/22/14,35
JFK,11/23/14,49
JFK,11/24/14,60
JFK,11/25/14,55
JFK,11/26/14,44
JFK,11/27/14,38
JFK,11/28/14,35
JFK,11/29/14,36
JFK,11/30/14,49
JFK,12/1/14,52
JFK,12/2/14,42
JFK,12/3/14,45
JFK,12/4/14,42
JFK,12/5/14,43
JFK,12/6/14,47
JFK,12/7/14,38
JFK,12/8/14,32
JFK,12/9/14,43
JFK,12/10/14,38
JFK,12/11/14,36
JFK,12/12/14,37
JFK,12/13/14,41
JFK,12/14/14,42
JFK,12/15/14,41
JFK,12/16/14,42
JFK,12/17/14,49
JFK,12/18/14,41
JFK,12/19/14,36
JFK,12/20/14,33
JFK,12/21/14,36
JFK,12/22/14,43
JFK,12/23/14,49
JFK,12/24/14,52
JFK,12/25/14,50
JFK,12/26/14,45
JFK,12/27/14,46
JFK,12/28/14,48
JFK,12/29/14,41
JFK,12/30/14,32
JFK,12/31/14,31
LAX,1/1/14,55
LAX,1/2/14,64
LAX,1/3/14,56
LAX,1/4/14,58
LAX,1/5/14,62
LAX,1/6/14,64
LAX,1/7/14,60
LAX,1/8/14,58
LAX,1/9/14,55
LAX,1/10/14,57
LAX,1/11/14,57
LAX,1/12/14,60
LAX,1/13/14,65
LAX,1/14/14,65
LAX,1/15/14,68
LAX,1/16/14,69
LAX,1/17/14,70
LAX,1/18/14,67
LAX,1/19/14,63
LAX,1/20/14,64
LAX,1/21/14,64
LAX,1/22/14,63
LAX,1/23/14,60
LAX,1/24/14,65
LAX,1/25/14,67
LAX,1/26/14,60
LAX,1/27/14,60
LAX,1/28/14,57
LAX,1/29/14,57
LAX,1/30/14,60
LAX,1/31/14,60
LAX,2/1/14,61
LAX,2/2/14,54
LAX,2/3/14,53
LAX,2/4/14,55
LAX,2/5/14,57
LAX,2/6/14,57
LAX,2/7/14,56
LAX,2/8/14,58
LAX,2/9/14,61
LAX,2/10/14,60
LAX,2/11/14,61
LAX,2/12/14,63
LAX,2/13/14,63
LAX,2/14/14,62
LAX,2/15/14,63
LAX,2/16/14,63
LAX,2/17/14,58
LAX,2/18/14,59
LAX,2/19/14,61
LAX,2/20/14,64
LAX,2/21/14,65
LAX,2/22/14,61
LAX,2/23/14,59
LAX,2/24/14,59
LAX,2/25/14,61
LAX,2/26/14,62
LAX,2/27/14,62
LAX,2/28/14,61
LAX,3/1/14,59
LAX,3/2/14,59
LAX,3/3/14,58
LAX,3/4/14,60
LAX,3/5/14,60
LAX,3/6/14,63
LAX,3/7/14,62
LAX,3/8/14,65
LAX,3/9/14,73
LAX,3/10/14,67
LAX,3/11/14,66
LAX,3/12/14,68
LAX,3/13/14,62
LAX,3/14/14,60
LAX,3/15/14,64
LAX,3/16/14,70
LAX,3/17/14,64
LAX,3/18/14,64
LAX,3/19/14,64
LAX,3/20/14,63
LAX,3/21/14,62
LAX,3/22/14,62
LAX,3/23/14,60
LAX,3/24/14,62
LAX,3/25/14,62
LAX,3/26/14,62
LAX,3/27/14,59
LAX,3/28/14,60
LAX,3/29/14,63
LAX,3/30/14,62
LAX,3/31/14,58
LAX,4/1/14,57
LAX,4/2/14,56
LAX,4/3/14,57
LAX,4/4/14,58
LAX,4/5/14,59
LAX,4/6/14,62
LAX,4/7/14,69
LAX,4/8/14,69
LAX,4/9/14,65
LAX,4/10/14,59
LAX,4/11/14,63
LAX,4/12/14,61
LAX,4/13/14,60
LAX,4/14/14,62
LAX,4/15/14,59
LAX,4/16/14,63
LAX,4/17/14,64
LAX,4/18/14,66
LAX,4/19/14,63
LAX,4/20/14,63
LAX,4/21/14,63
LAX,4/22/14,62
LAX,4/23/14,63
LAX,4/24/14,65
LAX,4/25/14,63
LAX,4/26/14,60
LAX,4/27/14,60
LAX,4/28/14,65
LAX,4/29/14,73
LAX,4/30/14,76
LAX,5/1/14,77
LAX,5/2/14,77
LAX,5/3/14,72
LAX,5/4/14,67
LAX,5/5/14,64
LAX,5/6/14,60
LAX,5/7/14,61
LAX,5/8/14,62
LAX,5/9/14,62
LAX,5/10/14,64
LAX,5/11/14,75
LAX,5/12/14,73
LAX,5/13/14,79
LAX,5/14/14,81
LAX,5/15/14,84
LAX,5/16/14,79
LAX,5/17/14,70
LAX,5/18/14,67
LAX,5/19/14,66
LAX,5/20/14,64
LAX,5/21/14,64
LAX,5/22/14,64
LAX,5/23/14,66
LAX,5/24/14,66
LAX,5/25/14,68
LAX,5/26/14,68
LAX,5/27/14,69
LAX,5/28/14,69
LAX,5/29/14,69
LAX,5/30/14,68
LAX,5/31/14,68
LAX,6/1/14,67
LAX,6/2/14,65
LAX,6/3/14,66
LAX,6/4/14,66
LAX,6/5/14,66
LAX,6/6/14,66
LAX,6/7/14,66
LAX,6/8/14,66
LAX,6/9/14,64
LAX,6/10/14,67
LAX,6/11/14,68
LAX,6/12/14,67
LAX,6/13/14,66
LAX,6/14/14,67
LAX,6/15/14,68
LAX,6/16/14,67
LAX,6/17/14,67
LAX,6/18/14,67
LAX,6/19/14,67
LAX,6/20/14,69
LAX,6/21/14,70
LAX,6/22/14,69
LAX,6/23/14,70
LAX,6/24/14,70
LAX,6/25/14,69
LAX,6/26/14,70
LAX,6/27/14,71
LAX,6/28/14,72
LAX,6/29/14,72
LAX,6/30/14,71
LAX,7/1/14,71
LAX,7/2/14,70
LAX,7/3/14,71
LAX,7/4/14,72
LAX,7/5/14,75
LAX,7/6/14,74
LAX,7/7/14,73
LAX,7/8/14,72
LAX,7/9/14,72
LAX,7/10/14,71
LAX,7/11/14,70
LAX,7/12/14,71
LAX,7/13/14,72
LAX,7/14/14,72
LAX,7/15/14,72
LAX,7/16/14,72
LAX,7/17/14,71
LAX,7/18/14,71
LAX,7/19/14,69
LAX,7/20/14,72
LAX,7/21/14,71
LAX,7/22/14,72
LAX,7/23/14,73
LAX,7/24/14,74
LAX,7/25/14,76
LAX,7/26/14,71
LAX,7/27/14,71
LAX,7/28/14,74
LAX,7/29/14,73
LAX,7/30/14,75
LAX,7/31/14,72
LAX,8/1/14,71
LAX,8/2/14,72
LAX,8/3/14,73
LAX,8/4/14,72
LAX,8/5/14,68
LAX,8/6/14,68
LAX,8/7/14,70
LAX,8/8/14,71
LAX,8/9/14,71
LAX,8/10/14,71
LAX,8/11/14,70
LAX,8/12/14,71
LAX,8/13/14,70
LAX,8/14/14,71
LAX,8/15/14,70
LAX,8/16/14,72
LAX,8/17/14,72
LAX,8/18/14,72
LAX,8/19/14,73
LAX,8/20/14,72
LAX,8/21/14,71
LAX,8/22/14,72
LAX,8/23/14,71
LAX,8/24/14,71
LAX,8/25/14,69
LAX,8/26/14,71
LAX,8/27/14,75
LAX,8/28/14,76
LAX,8/29/14,73
LAX,8/30/14,72
LAX,8/31/14,74
LAX,9/1/14,74
LAX,9/2/14,74
LAX,9/3/14,73
LAX,9/4/14,72
LAX,9/5/14,71
LAX,9/6/14,73
LAX,9/7/14,76
LAX,9/8/14,78
LAX,9/9/14,76
LAX,9/10/14,72
LAX,9/11/14,75
LAX,9/12/14,75
LAX,9/13/14,76
LAX,9/14/14,78
LAX,9/15/14,79
LAX,9/16/14,82
LAX,9/17/14,78
LAX,9/18/14,72
LAX,9/19/14,72
LAX,9/20/14,71
LAX,9/21/14,71
LAX,9/22/14,69
LAX,9/23/14,70
LAX,9/24/14,71
LAX,9/25/14,72
LAX,9/26/14,71
LAX,9/27/14,68
LAX,9/28/14,70
LAX,9/29/14,68
LAX,9/30/14,70
LAX,10/1/14,69
LAX,10/2/14,79
LAX,10/3/14,81
LAX,10/4/14,77
LAX,10/5/14,74
LAX,10/6/14,75
LAX,10/7/14,77
LAX,10/8/14,76
LAX,10/9/14,71
LAX,10/10/14,70
LAX,10/11/14,70
LAX,10/12/14,71
LAX,10/13/14,70
LAX,10/14/14,69
LAX,10/15/14,69
LAX,10/16/14,67
LAX,10/17/14,67
LAX,10/18/14,67
LAX,10/19/14,67
LAX,10/20/14,69
LAX,10/21/14,69
LAX,10/22/14,72
LAX,10/23/14,69
LAX,10/24/14,70
LAX,10/25/14,69
LAX,10/26/14,68
LAX,10/27/14,66
LAX,10/28/14,66
LAX,10/29/14,70
LAX,10/30/14,68
LAX,10/31/14,67
LAX,11/1/14,61
LAX,11/2/14,59
LAX,11/3/14,63
LAX,11/4/14,63
LAX,11/5/14,68
LAX,11/6/14,75
LAX,11/7/14,74
LAX,11/8/14,70
LAX,11/9/14,65
LAX,11/10/14,64
LAX,11/11/14,64
LAX,11/12/14,63
LAX,11/13/14,61
LAX,11/14/14,65
LAX,11/15/14,63
LAX,11/16/14,64
LAX,11/17/14,66
LAX,11/18/14,65
LAX,11/19/14,62
LAX,11/20/14,61
LAX,11/21/14,63
LAX,11/22/14,62
LAX,11/23/14,68
LAX,11/24/14,68
LAX,11/25/14,67
LAX,11/26/14,67
LAX,11/27/14,72
LAX,11/28/14,66
LAX,11/29/14,62
LAX,11/30/14,63
LAX,12/1/14,63
LAX,12/2/14,61
LAX,12/3/14,61
LAX,12/4/14,62
LAX,12/5/14,63
LAX,12/6/14,61
LAX,12/7/14,63
LAX,12/8/14,66
LAX,12/9/14,64
LAX,12/10/14,61
LAX,12/11/14,63
LAX,12/12/14,58
LAX,12/13/14,56
LAX,12/14/14,56
LAX,12/15/14,57
LAX,12/16/14,57
LAX,12/17/14,57
LAX,12/18/14,55
LAX,12/19/14,57
LAX,12/20/14,56
LAX,12/21/14,58
LAX,12/22/14,59
LAX,12/23/14,66
LAX,12/24/14,65
LAX,12/25/14,58
LAX,12/26/14,53
LAX,12/27/14,50
LAX,12/28/14,51
LAX,12/29/14,51
LAX,12/30/14,52
LAX,12/31/14,50
LHR,1/1/14,47
LHR,1/2/14,48
LHR,1/3/14,47
LHR,1/4/14,43
LHR,1/5/14,44
LHR,1/6/14,50
LHR,1/7/14,50
LHR,1/8/14,48
LHR,1/9/14,46
LHR,1/10/14,44
LHR,1/11/14,40
LHR,1/12/14,39
LHR,1/13/14,45
LHR,1/14/14,39
LHR,1/15/14,46
LHR,1/16/14,46
LHR,1/17/14,44
LHR,1/18/14,47
LHR,1/19/14,42
LHR,1/20/14,40
LHR,1/21/14,40
LHR,1/22/14,46
LHR,1/23/14,42
LHR,1/24/14,40
LHR,1/25/14,48
LHR,1/26/14,42
LHR,1/27/14,41
LHR,1/28/14,45
LHR,1/29/14,40
LHR,1/30/14,40
LHR,1/31/14,41
LHR,2/1/14,44
LHR,2/2/14,46
LHR,2/3/14,42
LHR,2/4/14,44
LHR,2/5/14,46
LHR,2/6/14,46
LHR,2/7/14,44
LHR,2/8/14,46
LHR,2/9/14,44
LHR,2/10/14,43
LHR,2/11/14,41
LHR,2/12/14,42
LHR,2/13/14,42
LHR,2/14/14,46
LHR,2/15/14,46
LHR,2/16/14,43
LHR,2/17/14,44
LHR,2/18/14,46
LHR,2/19/14,44
LHR,2/20/14,49
LHR,2/21/14,44
LHR,2/22/14,46
LHR,2/23/14,50
LHR,2/24/14,51
LHR,2/25/14,46
LHR,2/26/14,45
LHR,2/27/14,45
LHR,2/28/14,41
LHR,3/1/14,42
LHR,3/2/14,43
LHR,3/3/14,42
LHR,3/4/14,42
LHR,3/5/14,44
LHR,3/6/14,48
LHR,3/7/14,52
LHR,3/8/14,52
LHR,3/9/14,54
